Age,Gender,Height,Weight,Activity_Level
21,Female,180,61,Very Active  (hard exercise/sports 6-7 days per week)
22,Male,167,56,Lightly active (light exercise/sports 1-3 days per week)
22,Male,171,75,Moderately Active (moderate exercise/sports 3-5 days per week)
21,Male,165,58,Lightly active (light exercise/sports 1-3 days per week)
23,Male,171,70,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,178,80,Moderately Active (moderate exercise/sports 3-5 days per week)
25,Male,165,70,Lightly active (light exercise/sports 1-3 days per week)
24,Male,163,65,Lightly active (light exercise/sports 1-3 days per week)
20,Male,157.4,47.7,Moderately Active (moderate exercise/sports 3-5 days per week)
21,Male,175.2,61,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,163,48,Sedentary  (little or no exercise)
23,Female,155,46,Lightly active (light exercise/sports 1-3 days per week)
22,Male,160,55,Lightly active (light exercise/sports 1-3 days per week)
22,Male,170,81,Lightly active (light exercise/sports 1-3 days per week)
21,Female,155,56,Lightly active (light exercise/sports 1-3 days per week)
21,Female,156,48,Lightly active (light exercise/sports 1-3 days per week)
24,Female,160,57,Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,66,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,175,76,Lightly active (light exercise/sports 1-3 days per week)
21,Female,152,59,Lightly active (light exercise/sports 1-3 days per week)
25,Male,180,79,Moderately Active (moderate exercise/sports 3-5 days per week)
24,Female,157,44,Sedentary  (little or no exercise)
23,Male,165,52,Lightly active (light exercise/sports 1-3 days per week)
21,Male,175,52,Sedentary  (little or no exercise)
25,Male,165,52,Lightly active (light exercise/sports 1-3 days per week)
20,Female,154,50,Lightly active (light exercise/sports 1-3 days per week)
21,Female,160,51,Lightly active (light exercise/sports 1-3 days per week)
23,Female,155,59,Lightly active (light exercise/sports 1-3 days per week)
21,Male,175,53,Lightly active (light exercise/sports 1-3 days per week)
26,Male,172,60,Lightly active (light exercise/sports 1-3 days per week)
25,Male,170,68,Lightly active (light exercise/sports 1-3 days per week)
25,Male,170,70,Lightly active (light exercise/sports 1-3 days per week)
24,Male,170,76,Lightly active (light exercise/sports 1-3 days per week)
24,Male,167,68,Lightly active (light exercise/sports 1-3 days per week)
24,Male,170,81,Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,86,Lightly active (light exercise/sports 1-3 days per week)
23,Male,178,95,Lightly active (light exercise/sports 1-3 days per week)
23,Male,167,66,Lightly active (light exercise/sports 1-3 days per week)
23,Female,154,44,Lightly active (light exercise/sports 1-3 days per week)
24,Male,173,80,Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,152,41,Sedentary  (little or no exercise)
21,Male,160,49,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Female,157,58,Lightly active (light exercise/sports 1-3 days per week)
21,Male,170,65,Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,154,53,Lightly active (light exercise/sports 1-3 days per week)
19,Female,152,50,Lightly active (light exercise/sports 1-3 days per week)
27,Male,172,63,Moderately Active (moderate exercise/sports 3-5 days per week)
28,Male,175,64,Lightly active (light exercise/sports 1-3 days per week)
26,Male,178,64,Moderately Active (moderate exercise/sports 3-5 days per week)
24,Male,167,66,Lightly active (light exercise/sports 1-3 days per week)
29,Male,180,69,Moderately Active (moderate exercise/sports 3-5 days per week)
27,Male,183,72,Lightly active (light exercise/sports 1-3 days per week)
18,Male,182,78,Sedentary  (little or no exercise)
38,Male,155,60,Extremely active (very hard exercise/sports or physical job)
42,Female,153,49,Extremely active (very hard exercise/sports or physical job)
47,Female,149,50,Extremely active (very hard exercise/sports or physical job)
49,Female,166,62,Extremely active (very hard exercise/sports or physical job)
38,Female,163,62,Extremely active (very hard exercise/sports or physical job)
33,Female,147,50,Extremely active (very hard exercise/sports or physical job)
32,Female,160,55,Extremely active (very hard exercise/sports or physical job)
36,Female,160,52,Extremely active (very hard exercise/sports or physical job)
35,Male,174,64,Lightly active (light exercise/sports 1-3 days per week)
37,Female,162,52,Lightly active (light exercise/sports 1-3 days per week)
21,Male,165,52,Moderately Active (moderate exercise/sports 3-5 days per week)
32,Male,180,68,Very Active  (hard exercise/sports 6-7 days per week)
35,Male,183,66,Lightly active (light exercise/sports 1-3 days per week)
36,Male,169,55,Extremely active (very hard exercise/sports or physical job)
31,Male,159,57,Sedentary  (little or no exercise)
30,Female,158,68,Very Active  (hard exercise/sports 6-7 days per week)
26,Male,169,56,Lightly active (light exercise/sports 1-3 days per week)
28,Female,160,63,Very Active  (hard exercise/sports 6-7 days per week)
21,Male,173,62,Extremely active (very hard exercise/sports or physical job)
20,Female,174,59,Very Active  (hard exercise/sports 6-7 days per week)
15,Male,166,80,Extremely active (very hard exercise/sports or physical job)
18,Female,173,60,Very Active  (hard exercise/sports 6-7 days per week)
19,Male,162,74,Very Active  (hard exercise/sports 6-7 days per week)
16,Female,168,54,Sedentary  (little or no exercise)
25,Female,167,49,Very Active  (hard exercise/sports 6-7 days per week)
24,Female,149,45,Sedentary  (little or no exercise)
34,Female,158,56,Very Active  (hard exercise/sports 6-7 days per week)
33,Male,178,55,Sedentary  (little or no exercise)
32,Male,187,51,Sedentary  (little or no exercise)
30,Male,183,52,Very Active  (hard exercise/sports 6-7 days per week)
23,Female,159,53,Sedentary  (little or no exercise)
